Sort name, Data order, Data size, Execution time (in milisecond), Comparisons
shaker-sort, sorted data, 500000, 0.997300, 1000001
heap-sort, sorted data, 500000, 115.690200, 37799186
merge-sort, sorted data, 500000, 63.831200, 21542140
quick-sort, sorted data, 500000, 70.764400, 33489049
counting-sort, sorted data, 500000, 5.976400, 3000003
radix-sort, sorted data, 500000, 37.901400, 7000080
flash-sort, sorted data, 500000, 23.938800, 5640004
selection-sort, reverse sorted data, 10000, 98.781300, 100010001
insertion-sort, reverse sorted data, 10000, 116.720400, 100009999
bubble-sort, reverse sorted data, 10000, 376.936500, 100009999
shell-sort, reverse sorted data, 10000, 1.000000, 475175
shaker-sort, reverse sorted data, 10000, 355.050600, 100019998
heap-sort, reverse sorted data, 10000, 1.032600, 485075
merge-sort, reverse sorted data, 10000, 1.042600, 322827
quick-sort, reverse sorted data, 10000, 1.963100, 355887
counting-sort, reverse sorted data, 10000, 0.000000, 60003
radix-sort, reverse sorted data, 10000, 0.000000, 100054
flash-sort, reverse sorted data, 10000, 0.000000, 112806
selection-sort, reverse sorted data, 30000, 875.693500, 900030001
insertion-sort, reverse sorted data, 30000, 1042.259900, 900029999
bubble-sort, reverse sorted data, 30000, 3474.737700, 900029999
shell-sort, reverse sorted data, 30000, 1.020800, 1554051
shaker-sort, reverse sorted data, 30000, 3212.445300, 900059998
heap-sort, reverse sorted data, 30000, 5.011100, 1649112
merge-sort, reverse sorted data, 30000, 4.030400, 1066235
quick-sort, reverse sorted data, 30000, 3.990300, 1118587
counting-sort, reverse sorted data, 30000, 0.000000, 180003
radix-sort, reverse sorted data, 30000, 2.021400, 360067
flash-sort, reverse sorted data, 30000, 1.993900, 338406
selection-sort, reverse sorted data, 50000, 2449.476400, 2500050001
insertion-sort, reverse sorted data, 50000, 2884.335300, 2500049999
bubble-sort, reverse sorted data, 50000, 9369.314400, 2500049999
shell-sort, reverse sorted data, 50000, 3.024400, 2844628
shaker-sort, reverse sorted data, 50000, 8956.292100, 2500099998
heap-sort, reverse sorted data, 50000, 8.976600, 2888832
merge-sort, reverse sorted data, 50000, 6.028800, 1849483
quick-sort, reverse sorted data, 50000, 6.028300, 1992785
counting-sort, reverse sorted data, 50000, 0.000000, 300003
radix-sort, reverse sorted data, 50000, 3.031800, 600067
flash-sort, reverse sorted data, 50000, 2.033900, 564006
selection-sort, reverse sorted data, 100000, 9739.807600, 10000100001
insertion-sort, reverse sorted data, 100000, 11549.059100, 10000099999
bubble-sort, reverse sorted data, 100000, 37424.488400, 10000099999
shell-sort, reverse sorted data, 100000, 6.016300, 6089190
shaker-sort, reverse sorted data, 100000, 35514.477600, 10000199998
heap-sort, reverse sorted data, 100000, 19.979200, 6171509
merge-sort, reverse sorted data, 100000, 12.001500, 3898971
quick-sort, reverse sorted data, 100000, 12.997800, 4220223
counting-sort, reverse sorted data, 100000, 0.998200, 600003
radix-sort, reverse sorted data, 100000, 6.016300, 1200067
flash-sort, reverse sorted data, 100000, 5.020300, 1128006
selection-sort, reverse sorted data, 300000, 87986.550400, 90000300001
insertion-sort, reverse sorted data, 300000, 103900.978300, 90000299999
bubble-sort, reverse sorted data, 300000, 337116.679700, 90000299999
shell-sort, reverse sorted data, 300000, 24.933600, 20001852
shaker-sort, reverse sorted data, 300000, 317620.435600, 90000599998
heap-sort, reverse sorted data, 300000, 65.856000, 20443133
merge-sort, reverse sorted data, 300000, 34.927900, 12632603
quick-sort, reverse sorted data, 300000, 47.867600, 16108000
counting-sort, reverse sorted data, 300000, 3.990300, 1800003
radix-sort, reverse sorted data, 300000, 21.938600, 4200080
flash-sort, reverse sorted data, 300000, 13.960500, 3384006
selection-sort, reverse sorted data, 500000, 244436.608300, 250000500001
insertion-sort, reverse sorted data, 500000, 288641.209500, 250000499999
bubble-sort, reverse sorted data, 500000, 939710.971400, 250000499999
shell-sort, reverse sorted data, 500000, 38.903600, 33857581
shaker-sort, reverse sorted data, 500000, 890868.892700, 250000999998
heap-sort, reverse sorted data, 500000, 111.701400, 35564898
merge-sort, reverse sorted data, 500000, 62.771900, 21860699
quick-sort, reverse sorted data, 500000, 103.755100, 33127904
counting-sort, reverse sorted data, 500000, 5.987600, 3000003
radix-sort, reverse sorted data, 500000, 36.921000, 7000080
flash-sort, reverse sorted data, 500000, 23.935800, 5640006
selection-sort, nearly sorted data, 10000, 101.729100, 100010001
insertion-sort, nearly sorted data, 10000, 0.000000, 150602
bubble-sort, nearly sorted data, 10000, 104.753000, 95281550
shell-sort, nearly sorted data, 10000, 1.000000, 401176
shaker-sort, nearly sorted data, 10000, 0.000000, 219901
heap-sort, nearly sorted data, 10000, 2.023100, 533008
merge-sort, nearly sorted data, 10000, 2.023700, 345483
quick-sort, nearly sorted data, 10000, 1.025000, 327316
counting-sort, nearly sorted data, 10000, 0.971900, 60003
radix-sort, nearly sorted data, 10000, 0.997800, 100054
flash-sort, nearly sorted data, 10000, 0.997800, 112807
selection-sort, nearly sorted data, 30000, 918.633400, 900030001
insertion-sort, nearly sorted data, 30000, 0.000000, 545502
bubble-sort, nearly sorted data, 30000, 880.679300, 808760638
shell-sort, nearly sorted data, 30000, 2.034700, 1280746
shaker-sort, nearly sorted data, 30000, 1.041100, 779857
heap-sort, nearly sorted data, 30000, 5.036200, 1781430
merge-sort, nearly sorted data, 30000, 3.039400, 1131168
quick-sort, nearly sorted data, 30000, 3.037400, 1232740
counting-sort, nearly sorted data, 30000, 0.000000, 180003
radix-sort, nearly sorted data, 30000, 2.991700, 360067
flash-sort, nearly sorted data, 30000, 0.988700, 338399
selection-sort, nearly sorted data, 50000, 2540.240000, 2500050001
insertion-sort, nearly sorted data, 50000, 1.014000, 628054
bubble-sort, nearly sorted data, 50000, 1995.695900, 1841075430
shell-sort, nearly sorted data, 50000, 2.991500, 2282915
shaker-sort, nearly sorted data, 50000, 1.996000, 1299857
heap-sort, nearly sorted data, 50000, 9.974800, 3126859
merge-sort, nearly sorted data, 50000, 4.988100, 1945072
quick-sort, nearly sorted data, 50000, 5.008900, 2022064
counting-sort, nearly sorted data, 50000, 0.000000, 300003
radix-sort, nearly sorted data, 50000, 4.004100, 600067
flash-sort, nearly sorted data, 50000, 2.018100, 563997
selection-sort, nearly sorted data, 100000, 10231.119900, 10000100001
insertion-sort, nearly sorted data, 100000, 1.030200, 761010
bubble-sort, nearly sorted data, 100000, 4064.166700, 3752383194
shell-sort, nearly sorted data, 100000, 5.017800, 4692152
shaker-sort, nearly sorted data, 100000, 5.018400, 2999805
heap-sort, nearly sorted data, 100000, 20.984500, 6664037
